location,year,date,time,treatment,variable,value
LIRS,2014,8_14,2_11_00 AM,control,temperature,22.0
LIRS,2014,8_14,2_21_00 AM,control,temperature,22.0
LIRS,2014,8_14,2_31_00 AM,control,temperature,22.0
LIRS,2014,8_14,2_41_00 AM,control,temperature,21.9
LIRS,2014,8_14,2_51_00 AM,control,temperature,21.9
LIRS,2014,8_14,3_01_00 AM,control,temperature,21.9
LIRS,2014,8_14,3_11_00 AM,control,temperature,21.8
LIRS,2014,8_14,3_21_00 AM,control,temperature,21.8
LIRS,2014,8_14,3_31_00 AM,control,temperature,21.8
LIRS,2014,8_14,3_41_00 AM,control,temperature,21.6
LIRS,2014,8_14,3_51_00 AM,control,temperature,21.6
LIRS,2014,8_14,4_01_00 AM,control,temperature,21.6
LIRS,2014,8_14,4_11_00 AM,control,temperature,21.6
LIRS,2014,8_14,4_21_00 AM,control,temperature,21.5
LIRS,2014,8_14,4_31_00 AM,control,temperature,21.5
LIRS,2014,8_14,4_41_00 AM,control,temperature,21.5
LIRS,2014,8_14,4_51_00 AM,control,temperature,21.4
LIRS,2014,8_14,5_01_00 AM,control,temperature,21.4
LIRS,2014,8_14,5_11_00 AM,control,temperature,21.4
LIRS,2014,8_14,5_21_00 AM,control,temperature,21.4
LIRS,2014,8_14,5_31_00 AM,control,temperature,21.4
LIRS,2014,8_14,5_41_00 AM,control,temperature,21.3
LIRS,2014,8_14,5_51_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_01_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_11_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_21_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_31_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_41_00 AM,control,temperature,21.3
LIRS,2014,8_14,6_51_00 AM,control,temperature,21.3
LIRS,2014,8_14,7_01_00 AM,control,temperature,21.3
LIRS,2014,8_14,7_11_00 AM,control,temperature,21.3
LIRS,2014,8_14,7_21_00 AM,control,temperature,21.3
LIRS,2014,8_14,7_31_00 AM,control,temperature,21.3
LIRS,2014,8_14,7_41_00 AM,control,temperature,21.4
LIRS,2014,8_14,7_51_00 AM,control,temperature,21.4
LIRS,2014,8_14,8_01_00 AM,control,temperature,21.5
LIRS,2014,8_14,8_11_00 AM,control,temperature,21.5
LIRS,2014,8_14,8_21_00 AM,control,temperature,21.5
LIRS,2014,8_14,8_31_00 AM,control,temperature,21.5
LIRS,2014,8_14,8_41_00 AM,control,temperature,21.6
LIRS,2014,8_14,8_51_00 AM,control,temperature,21.8
LIRS,2014,8_14,9_01_00 AM,control,temperature,21.8
LIRS,2014,8_14,9_11_00 AM,control,temperature,21.9
LIRS,2014,8_14,9_21_00 AM,control,temperature,21.9
LIRS,2014,8_14,9_31_00 AM,control,temperature,21.9
LIRS,2014,8_14,9_41_00 AM,control,temperature,22.0
LIRS,2014,8_14,9_51_00 AM,control,temperature,22.0
LIRS,2014,8_14,10_01_00 AM,control,temperature,22.1
LIRS,2014,8_14,10_11_00 AM,control,temperature,22.1
LIRS,2014,8_14,10_21_00 AM,control,temperature,22.3
LIRS,2014,8_14,10_31_00 AM,control,temperature,22.4
LIRS,2014,8_14,10_41_00 AM,control,temperature,22.4
LIRS,2014,8_14,10_51_00 AM,control,temperature,22.4
LIRS,2014,8_14,11_01_00 AM,control,temperature,22.5
LIRS,2014,8_14,11_11_00 AM,control,temperature,22.6
LIRS,2014,8_14,11_21_00 AM,control,temperature,22.6
LIRS,2014,8_14,11_31_00 AM,control,temperature,22.6
LIRS,2014,8_14,11_41_00 AM,control,temperature,22.8
LIRS,2014,8_14,11_51_00 AM,control,temperature,22.9
LIRS,2014,8_14,12_01_00 PM,control,temperature,22.9
LIRS,2014,8_14,12_11_00 PM,control,temperature,22.9
LIRS,2014,8_14,12_21_00 PM,control,temperature,23.0
LIRS,2014,8_14,12_31_00 PM,control,temperature,23.0
LIRS,2014,8_14,12_41_00 PM,control,temperature,23.1
LIRS,2014,8_14,12_51_00 PM,control,temperature,23.1
LIRS,2014,8_14,1_01_00 AM,control,temperature,23.1
LIRS,2014,8_14,1_11_00 AM,control,temperature,23.3
LIRS,2014,8_14,1_21_00 AM,control,temperature,23.3
LIRS,2014,8_14,1_31_00 AM,control,temperature,23.3
LIRS,2014,8_14,1_41_00 AM,control,temperature,23.4
LIRS,2014,8_14,1_51_00 AM,control,temperature,23.4
LIRS,2014,8_14,2_01_00 AM,control,temperature,23.4
LIRS,2014,8_14,2_11_00 AM,control,temperature,23.4
LIRS,2014,8_14,2_21_00 AM,control,temperature,23.5
LIRS,2014,8_14,2_31_00 AM,control,temperature,23.5
LIRS,2014,8_14,2_41_00 AM,control,temperature,23.5
LIRS,2014,8_14,2_51_00 AM,control,temperature,23.5
LIRS,2014,8_14,3_01_00 AM,control,temperature,23.5
LIRS,2014,8_14,3_11_00 AM,control,temperature,23.5
LIRS,2014,8_14,3_21_00 AM,control,temperature,23.5
LIRS,2014,8_14,3_31_00 AM,control,temperature,23.5
LIRS,2014,8_14,3_41_00 AM,control,temperature,23.6
LIRS,2014,8_14,3_51_00 AM,control,temperature,23.5
LIRS,2014,8_14,4_01_00 AM,control,temperature,23.6
LIRS,2014,8_14,4_11_00 AM,control,temperature,23.5
LIRS,2014,8_14,4_21_00 AM,control,temperature,23.6
LIRS,2014,8_14,4_31_00 AM,control,temperature,23.6
LIRS,2014,8_14,4_41_00 AM,control,temperature,23.6
LIRS,2014,8_14,4_51_00 AM,control,temperature,23.5
LIRS,2014,8_14,5_01_00 AM,control,temperature,23.5
LIRS,2014,8_14,5_11_00 AM,control,temperature,23.5
LIRS,2014,8_14,5_21_00 AM,control,temperature,23.4
LIRS,2014,8_14,5_31_00 AM,control,temperature,23.4
LIRS,2014,8_14,5_41_00 AM,control,temperature,23.4
LIRS,2014,8_14,5_51_00 AM,control,temperature,23.3
LIRS,2014,8_14,6_01_00 AM,control,temperature,23.3
LIRS,2014,8_14,6_11_00 AM,control,temperature,23.3
LIRS,2014,8_14,6_21_00 AM,control,temperature,23.1
LIRS,2014,8_14,6_31_00 AM,control,temperature,23.1
LIRS,2014,8_14,6_41_00 AM,control,temperature,23.1
LIRS,2014,8_14,6_51_00 AM,control,temperature,23.0
LIRS,2014,8_14,7_01_00 AM,control,temperature,23.0
LIRS,2014,8_14,7_11_00 AM,control,temperature,23.0
LIRS,2014,8_14,7_21_00 AM,control,temperature,23.0
LIRS,2014,8_14,7_31_00 AM,control,temperature,22.9
LIRS,2014,8_14,7_41_00 AM,control,temperature,22.9
LIRS,2014,8_14,7_51_00 AM,control,temperature,22.9
LIRS,2014,8_14,8_01_00 AM,control,temperature,22.9
LIRS,2014,8_14,8_11_00 AM,control,temperature,22.9
LIRS,2014,8_14,8_21_00 AM,control,temperature,22.9
LIRS,2014,8_14,8_31_00 AM,control,temperature,22.9
LIRS,2014,8_14,8_41_00 AM,control,temperature,22.8
LIRS,2014,8_14,8_51_00 AM,control,temperature,22.8
LIRS,2014,8_14,9_01_00 AM,control,temperature,22.8
LIRS,2014,8_14,9_11_00 AM,control,temperature,22.6
LIRS,2014,8_14,9_21_00 AM,control,temperature,22.6
LIRS,2014,8_14,9_31_00 AM,control,temperature,22.6
LIRS,2014,8_14,9_41_00 AM,control,temperature,22.6
LIRS,2014,8_14,9_51_00 AM,control,temperature,22.6
LIRS,2014,8_14,10_01_00 AM,control,temperature,22.6
LIRS,2014,8_14,10_11_00 AM,control,temperature,22.6
LIRS,2014,8_14,10_21_00 AM,control,temperature,22.6
LIRS,2014,8_14,10_31_00 AM,control,temperature,22.6
LIRS,2014,8_14,10_41_00 AM,control,temperature,22.6
